window,market,code,name,cat,strategy,priceChange,return,maxDrawdown,sharpe,tradeCount,ok,err
W1,A,300968,"格林精密",收藏夹,trend6,37.16,16.64,15.59,0.80,4,true,
W1,A,000572,"海马汽车",收藏夹,trend5,0.74,6.09,27.83,0.51,4,true,
W2,A,300968,"格林精密",收藏夹,trend,-9.13,-14.02,4.22,-1.88,18,true,
W1,A,601318,"中国平安",收藏夹,trend5,-17.82,-18.64,10.67,-2.50,4,true,
W2,A,515230,"软件ETF国泰",收藏夹,trend2,16.27,-8.54,2.96,-1.88,8,true,
W1,A,601318,"中国平安",收藏夹,trend6,-17.82,-16.72,10.67,-2.26,4,true,
W1,A,000572,"海马汽车",收藏夹,trend6,0.74,12.82,23.25,0.83,4,true,
W2,A,300968,"格林精密",收藏夹,trend2,-9.13,-1.86,2.44,-0.25,6,true,
W2,A,000572,"海马汽车",收藏夹,trend,46.97,-6.00,8.99,-0.29,20,true,
W2,A,515230,"软件ETF国泰",收藏夹,trend3,16.27,12.71,0.00,1.51,2,true,
W2,A,601318,"中国平安",收藏夹,trend,10.82,0.18,8.17,0.10,24,true,
W2,A,515230,"软件ETF国泰",收藏夹,trend5,16.27,7.59,0.00,0.97,2,true,
W2,A,300968,"格林精密",收藏夹,trend3,-9.13,5.54,0.00,0.60,2,true,
W2,A,000572,"海马汽车",收藏夹,trend2,46.97,-11.35,7.72,-1.30,14,true,
W2,A,300968,"格林精密",收藏夹,trend5,-9.13,-7.59,5.10,-1.00,4,true,
W2,A,601318,"中国平安",收藏夹,trend2,10.82,0.93,0.00,1.03,2,true,
W2,A,515230,"软件ETF国泰",收藏夹,trend6,16.27,4.51,0.00,0.67,4,true,
W2,A,601318,"中国平安",收藏夹,trend3,10.82,8.17,0.00,1.05,2,true,
W2,A,000572,"海马汽车",收藏夹,trend3,46.97,23.29,9.33,1.36,4,true,
W2,A,300968,"格林精密",收藏夹,trend6,-9.13,-4.67,5.54,-0.61,4,true,
W2,A,000572,"海马汽车",收藏夹,trend5,46.97,4.52,10.98,0.45,6,true,
W3,A,515230,"软件ETF国泰",收藏夹,trend,-18.06,-0.83,4.38,0.01,6,true,
W2,A,601318,"中国平安",收藏夹,trend5,10.82,6.76,0.00,0.89,2,true,
W3,A,515230,"软件ETF国泰",收藏夹,trend2,-18.06,16.25,1.77,1.78,6,true,
W3,A,300968,"格林精密",收藏夹,trend,-25.69,0.27,2.58,0.12,6,true,
W2,A,000572,"海马汽车",收藏夹,trend6,46.97,9.77,6.50,0.80,6,true,
W3,A,300968,"格林精密",收藏夹,trend2,-25.69,-4.99,4.46,-0.97,4,true,
W2,A,601318,"中国平安",收藏夹,trend6,10.82,1.59,12.10,0.30,6,true,
W3,A,515230,"软件ETF国泰",收藏夹,trend3,-18.06,-19.10,10.26,-3.86,4,true,
W3,A,601318,"中国平安",收藏夹,trend,7.81,8.06,13.06,1.14,8,true,
W3,A,000572,"海马汽车",收藏夹,trend,4.34,26.23,36.09,1.22,8,true,
W3,A,300968,"格林精密",收藏夹,trend3,-25.69,-6.18,6.18,-0.88,2,true,
W3,A,000572,"海马汽车",收藏夹,trend2,4.34,-2.79,2.79,-1.47,2,true,
W3,A,515230,"软件ETF国泰",收藏夹,trend5,-18.06,-7.21,7.21,-2.55,2,true,
W3,A,601318,"中国平安",收藏夹,trend2,7.81,4.02,6.79,0.78,6,true,
W3,A,515230,"软件ETF国泰",收藏夹,trend6,-18.06,-7.21,7.21,-2.55,2,true,
W3,A,300968,"格林精密",收藏夹,trend5,-25.69,0.00,0.00,0.00,0,true,
W3,A,000572,"海马汽车",收藏夹,trend3,4.34,13.24,3.39,0.78,4,true,
W3,A,300968,"格林精密",收藏夹,trend6,-25.69,0.00,0.00,0.00,0,true,
W3,A,601318,"中国平安",收藏夹,trend3,7.81,4.75,19.87,0.58,4,true,
W4,A,515230,"软件ETF国泰",收藏夹,trend,-35.36,-4.26,4.26,-1.35,2,true,
W3,A,601318,"中国平安",收藏夹,trend5,7.81,1.68,14.19,0.29,6,true,
W3,A,000572,"海马汽车",收藏夹,trend5,4.34,13.24,3.39,0.78,4,true,
W4,A,300968,"格林精密",收藏夹,trend,-32.33,-2.82,2.82,-0.86,2,true,
W3,A,000572,"海马汽车",收藏夹,trend6,4.34,13.24,3.39,0.78,4,true,
W4,A,515230,"软件ETF国泰",收藏夹,trend2,-35.36,-11.83,9.49,-3.79,6,true,
W3,A,601318,"中国平安",收藏夹,trend6,7.81,5.23,14.99,0.71,6,true,
W4,A,515230,"软件ETF国泰",收藏夹,trend3,-35.36,-9.85,9.85,-3.29,2,true,
W4,A,300968,"格林精密",收藏夹,trend2,-32.33,-2.74,2.74,-1.57,2,true,
W4,A,000572,"海马汽车",收藏夹,trend,-47.00,0.00,0.00,0.00,0,true,
W4,A,300968,"格林精密",收藏夹,trend3,-32.33,0.00,0.00,0.00,0,true,
W4,A,601318,"中国平安",收藏夹,trend,-25.24,-6.58,3.46,-3.28,4,true,
W4,A,515230,"软件ETF国泰",收藏夹,trend5,-35.36,-7.21,7.21,-2.73,2,true,
W4,A,000572,"海马汽车",收藏夹,trend2,-47.00,0.00,0.00,0.00,0,true,
W4,A,300968,"格林精密",收藏夹,trend5,-32.33,0.00,0.00,0.00,0,true,
W4,A,601318,"中国平安",收藏夹,trend2,-25.24,-4.13,2.95,-1.50,6,true,
W4,A,515230,"软件ETF国泰",收藏夹,trend6,-35.36,-7.21,7.21,-2.73,2,true,
W4,A,000572,"海马汽车",收藏夹,trend3,-47.00,0.00,0.00,0.00,0,true,
W1,A,520700,"港股通创新药ETF万家",收藏夹,trend,24.43,17.04,11.22,1.82,6,true,
W4,A,300968,"格林精密",收藏夹,trend6,-32.33,0.00,0.00,0.00,0,true,
W4,A,601318,"中国平安",收藏夹,trend3,-25.24,-8.38,8.38,-3.44,2,true,
W1,A,516770,"游戏ETF华泰柏瑞",收藏夹,trend,7.22,-9.36,11.67,-0.49,16,true,
W4,A,000572,"海马汽车",收藏夹,trend5,-47.00,0.00,0.00,0.00,0,true,
W1,A,520700,"港股通创新药ETF万家",收藏夹,trend2,24.43,7.41,1.20,1.14,10,true,
W4,A,000572,"海马汽车",收藏夹,trend6,-47.00,0.00,0.00,0.00,0,true,
W4,A,601318,"中国平安",收藏夹,trend5,-25.24,-6.27,6.27,-3.42,2,true,
W1,A,516770,"游戏ETF华泰柏瑞",收藏夹,trend2,7.22,13.62,23.53,1.10,6,true,
W4,A,601318,"中国平安",收藏夹,trend6,-25.24,-5.09,5.09,-3.01,2,true,
W1,A,520700,"港股通创新药ETF万家",收藏夹,trend3,24.43,19.34,0.00,1.92,2,true,
W1,A,600519,"贵州茅台",A大盘,trend,-17.99,-0.84,4.57,-0.10,10,true,
W1,A,520700,"港股通创新药ETF万家",收藏夹,trend5,24.43,19.34,0.00,1.92,2,true,
W1,A,516770,"游戏ETF华泰柏瑞",收藏夹,trend3,7.22,-18.49,14.89,-1.39,4,true,
W1,A,600036,"招商银行",A大盘,trend,3.91,-2.80,3.65,-0.21,12,true,
W1,A,516770,"游戏ETF华泰柏瑞",收藏夹,trend5,7.22,-11.98,8.70,-0.86,4,true,
W1,A,600519,"贵州茅台",A大盘,trend2,-17.99,-7.43,5.48,-1.85,8,true,
W1,A,520700,"港股通创新药ETF万家",收藏夹,trend6,24.43,3.48,6.05,0.52,6,true,
W1,A,600036,"招商银行",A大盘,trend2,3.91,-5.11,4.00,-0.52,4,true,
W1,A,516770,"游戏ETF华泰柏瑞",收藏夹,trend6,7.22,-18.49,8.70,-1.92,6,true,
W1,A,600519,"贵州茅台",A大盘,trend3,-17.99,-8.53,8.98,-1.52,4,true,
W2,A,520700,"港股通创新药ETF万家",收藏夹,trend,65.94,21.29,23.90,1.36,16,true,
W1,A,600036,"招商银行",A大盘,trend3,3.91,11.41,0.00,1.37,2,true,
